Iteration,DICE,CARD,COIN
1,1,7-Diamonds,HEADS
2,2,8-Hearts,TAILS
3,3,9-Spades,HEADS
4,5,7-Spades,HEADS
5,6,K-Spades,HEADS
6,2,5-Spades,TAILS
7,4,10-Spades,TAILS
8,6,7-Spades,TAILS
9,1,A-Clubs,TAILS
10,5,8-Diamonds,TAILS
11,1,A-Diamonds,TAILS
12,6,10-Clubs,HEADS
13,5,2-Spades,HEADS
14,2,9-Clubs,HEADS
15,4,K-Spades,HEADS
16,3,9-Hearts,HEADS
17,3,5-Clubs,HEADS
18,1,9-Diamonds,HEADS
19,1,6-Diamonds,HEADS
20,6,6-Diamonds,TAILS
21,1,7-Diamonds,HEADS
22,2,6-Hearts,TAILS
23,2,4-Clubs,TAILS
24,5,5-Spades,TAILS
25,5,A-Hearts,TAILS
26,1,7-Clubs,TAILS
27,1,5-Diamonds,TAILS
28,2,J-Hearts,HEADS
29,3,8-Clubs,TAILS
30,6,5-Diamonds,HEADS
31,6,3-Spades,TAILS
32,3,3-Hearts,TAILS
33,3,2-Diamonds,HEADS
34,3,5-Diamonds,HEADS
35,1,10-Hearts,TAILS
36,5,K-Spades,TAILS
37,2,9-Diamonds,HEADS
38,5,J-Hearts,HEADS
39,4,5-Hearts,TAILS
40,3,Q-Clubs,HEADS
41,3,10-Diamonds,TAILS
42,4,2-Clubs,HEADS
43,6,J-Hearts,TAILS
44,1,9-Clubs,TAILS
45,1,4-Diamonds,HEADS
46,2,A-Hearts,HEADS
47,3,3-Hearts,TAILS
48,5,2-Hearts,HEADS
49,1,8-Hearts,HEADS
50,2,9-Diamonds,TAILS
51,2,K-Clubs,HEADS
52,6,2-Hearts,HEADS
53,5,K-Clubs,TAILS
54,3,Q-Diamonds,HEADS
55,3,K-Clubs,TAILS
56,5,2-Spades,TAILS
57,1,7-Diamonds,HEADS
58,4,A-Clubs,TAILS
59,3,10-Diamonds,HEADS
60,1,9-Spades,TAILS
61,2,3-Clubs,HEADS
62,3,Q-Hearts,TAILS
63,4,5-Diamonds,TAILS
64,5,Q-Clubs,TAILS
65,2,Q-Clubs,HEADS
66,6,7-Diamonds,HEADS
67,3,K-Hearts,TAILS
68,4,K-Diamonds,TAILS
69,2,Q-Clubs,HEADS
70,6,4-Hearts,TAILS
71,2,Q-Hearts,TAILS
72,5,J-Spades,TAILS
73,4,7-Spades,TAILS
74,4,K-Clubs,HEADS
75,5,10-Clubs,TAILS
76,6,8-Diamonds,TAILS
77,2,J-Diamonds,TAILS
78,5,7-Clubs,TAILS
79,2,6-Diamonds,HEADS
80,1,3-Diamonds,TAILS
81,1,K-Spades,HEADS
82,5,A-Clubs,TAILS
83,2,A-Hearts,TAILS
84,5,9-Clubs,TAILS
85,5,Q-Diamonds,TAILS
86,1,8-Spades,HEADS
87,5,4-Clubs,TAILS
88,2,7-Clubs,HEADS
89,3,10-Diamonds,HEADS
90,2,9-Diamonds,TAILS
91,3,4-Spades,HEADS
92,3,2-Hearts,HEADS
93,1,8-Hearts,HEADS
94,5,8-Diamonds,HEADS
95,1,A-Hearts,HEADS
96,6,2-Diamonds,HEADS
97,6,6-Spades,TAILS
98,4,9-Diamonds,HEADS
99,2,Q-Clubs,HEADS
100,1,9-Hearts,HEADS
101,3,J-Diamonds,TAILS
102,1,A-Clubs,TAILS
103,6,9-Clubs,TAILS
104,5,7-Diamonds,HEADS
105,4,2-Diamonds,HEADS
106,1,J-Spades,HEADS
107,1,7-Spades,TAILS
108,3,10-Hearts,HEADS
109,1,7-Hearts,TAILS
110,5,3-Hearts,TAILS
111,4,4-Hearts,TAILS
112,3,3-Diamonds,HEADS
113,3,7-Spades,TAILS
114,4,8-Spades,TAILS
115,6,2-Clubs,HEADS
116,4,6-Diamonds,HEADS
117,3,A-Spades,HEADS
118,3,10-Clubs,HEADS
119,2,K-Hearts,HEADS
120,4,K-Diamonds,TAILS
121,2,5-Hearts,HEADS
122,3,Q-Spades,TAILS
123,4,A-Clubs,HEADS
124,6,7-Spades,HEADS
125,2,5-Spades,TAILS
126,4,2-Hearts,HEADS
127,3,3-Clubs,TAILS
128,6,10-Clubs,HEADS
129,5,8-Diamonds,HEADS
130,6,6-Clubs,TAILS
131,4,6-Clubs,TAILS
132,1,A-Spades,TAILS
133,3,A-Spades,HEADS
134,4,7-Clubs,TAILS
135,1,2-Hearts,TAILS
136,5,K-Spades,HEADS
137,6,10-Hearts,TAILS
138,5,5-Diamonds,TAILS
139,2,A-Diamonds,TAILS
140,4,J-Spades,TAILS
141,2,9-Diamonds,TAILS
142,2,10-Spades,HEADS
143,2,A-Clubs,TAILS
144,1,4-Diamonds,HEADS
145,6,K-Diamonds,TAILS
146,1,4-Clubs,HEADS
147,4,9-Spades,TAILS
148,5,6-Diamonds,HEADS
149,1,7-Clubs,HEADS
150,2,J-Spades,TAILS
151,3,4-Spades,TAILS
152,6,9-Diamonds,HEADS
153,4,10-Diamonds,HEADS
154,2,4-Hearts,HEADS
155,6,K-Clubs,TAILS
156,1,2-Clubs,TAILS
157,3,3-Clubs,TAILS
158,6,10-Spades,TAILS
159,2,8-Diamonds,TAILS
160,4,K-Hearts,HEADS
161,2,4-Hearts,HEADS
162,5,7-Spades,TAILS
163,4,10-Clubs,HEADS
164,3,6-Hearts,TAILS
165,2,4-Hearts,TAILS
166,2,10-Diamonds,HEADS
167,1,9-Spades,HEADS
168,5,3-Diamonds,TAILS
169,2,Q-Spades,HEADS
170,4,9-Diamonds,TAILS
171,2,5-Spades,HEADS
172,1,A-Spades,HEADS
173,1,3-Diamonds,TAILS
174,6,Q-Spades,HEADS
175,3,2-Clubs,TAILS
176,1,8-Hearts,TAILS
177,6,7-Clubs,TAILS
178,2,6-Clubs,TAILS
179,3,10-Hearts,TAILS
180,6,9-Clubs,HEADS
181,6,5-Clubs,TAILS
182,3,K-Hearts,TAILS
183,5,10-Diamonds,TAILS
184,1,10-Hearts,HEADS
185,6,A-Clubs,HEADS
186,6,10-Diamonds,TAILS
187,5,K-Spades,TAILS
188,6,5-Hearts,TAILS
189,6,8-Diamonds,TAILS
190,1,A-Diamonds,HEADS
191,2,9-Clubs,TAILS
192,1,K-Clubs,HEADS
193,4,5-Spades,HEADS
194,2,8-Clubs,TAILS
195,3,8-Hearts,TAILS
196,2,10-Clubs,HEADS
197,4,Q-Spades,HEADS
198,5,Q-Spades,HEADS
199,4,5-Diamonds,TAILS
200,2,A-Clubs,HEADS
201,2,7-Diamonds,TAILS
202,4,4-Diamonds,TAILS
203,3,K-Diamonds,HEADS
204,6,6-Diamonds,HEADS
205,6,A-Hearts,HEADS
206,6,Q-Spades,HEADS
207,3,8-Spades,HEADS
208,5,9-Hearts,HEADS
209,2,A-Clubs,TAILS
210,5,J-Diamonds,TAILS
211,3,J-Hearts,TAILS
212,1,7-Hearts,TAILS
213,2,Q-Clubs,TAILS
214,4,7-Clubs,TAILS
215,2,7-Hearts,TAILS
216,6,K-Diamonds,TAILS
217,5,J-Clubs,TAILS
218,3,5-Hearts,HEADS
219,1,9-Hearts,HEADS
220,4,3-Spades,HEADS
221,2,5-Hearts,TAILS
222,6,9-Diamonds,TAILS
223,2,2-Spades,TAILS
224,2,K-Spades,HEADS
225,2,4-Hearts,HEADS
226,2,10-Hearts,HEADS
227,3,3-Hearts,HEADS
228,1,3-Spades,HEADS
229,2,10-Diamonds,HEADS
230,3,J-Hearts,TAILS
231,2,10-Clubs,HEADS
232,4,Q-Clubs,TAILS
233,1,Q-Diamonds,HEADS
234,5,J-Diamonds,HEADS
235,1,9-Clubs,TAILS
236,3,9-Hearts,TAILS
237,4,K-Diamonds,HEADS
238,3,10-Diamonds,TAILS
239,5,4-Diamonds,TAILS
240,4,A-Spades,TAILS
241,5,3-Diamonds,TAILS
242,2,5-Clubs,TAILS
243,6,Q-Diamonds,HEADS
244,2,5-Diamonds,HEADS
245,5,6-Spades,TAILS
246,1,9-Hearts,TAILS
247,2,3-Hearts,TAILS
248,5,5-Diamonds,HEADS
249,5,Q-Diamonds,TAILS
250,5,5-Clubs,TAILS
251,3,Q-Diamonds,TAILS
252,3,3-Diamonds,HEADS
253,1,5-Hearts,HEADS
254,5,J-Spades,HEADS
255,6,A-Diamonds,TAILS
256,3,K-Diamonds,HEADS
257,6,8-Hearts,HEADS
258,2,9-Hearts,HEADS
259,2,J-Diamonds,TAILS
260,2,10-Diamonds,HEADS
261,4,K-Clubs,TAILS
262,5,9-Spades,TAILS
263,6,7-Clubs,HEADS
264,4,6-Diamonds,HEADS
265,1,8-Spades,TAILS
266,2,K-Diamonds,HEADS
267,1,A-Hearts,TAILS
268,5,A-Clubs,TAILS
269,2,8-Clubs,TAILS
270,4,A-Hearts,TAILS
271,1,10-Hearts,TAILS
272,4,4-Spades,HEADS
273,3,4-Diamonds,HEADS
274,6,A-Spades,HEADS
275,1,4-Spades,TAILS
276,2,J-Clubs,HEADS
277,5,Q-Hearts,TAILS
278,6,J-Clubs,HEADS
279,6,K-Clubs,TAILS
280,4,J-Hearts,HEADS
281,3,2-Hearts,HEADS
282,3,7-Clubs,HEADS
283,3,7-Clubs,TAILS
284,1,9-Hearts,HEADS
285,1,4-Hearts,TAILS
286,6,K-Spades,TAILS
287,2,K-Clubs,HEADS
288,4,10-Diamonds,HEADS
289,3,2-Clubs,TAILS
290,4,K-Spades,TAILS
291,5,J-Diamonds,HEADS
292,1,7-Spades,TAILS
293,2,2-Clubs,TAILS
294,1,7-Hearts,HEADS
295,6,10-Spades,TAILS
296,6,4-Spades,HEADS
297,3,8-Hearts,HEADS
298,2,4-Clubs,HEADS
299,4,6-Diamonds,HEADS
300,5,8-Clubs,TAILS
301,2,4-Diamonds,HEADS
302,3,J-Clubs,HEADS
303,4,J-Clubs,HEADS
304,2,7-Clubs,TAILS
305,6,6-Clubs,HEADS
306,1,6-Hearts,HEADS
307,4,K-Clubs,HEADS
308,6,K-Diamonds,HEADS
309,1,3-Diamonds,HEADS
310,6,K-Spades,HEADS
311,3,K-Spades,HEADS
312,5,J-Hearts,HEADS
313,3,10-Diamonds,TAILS
314,6,7-Spades,HEADS
315,2,7-Diamonds,TAILS
316,3,A-Spades,TAILS
317,6,9-Clubs,TAILS
318,1,3-Diamonds,TAILS
319,4,3-Spades,TAILS
320,6,A-Diamonds,HEADS
321,4,7-Clubs,HEADS
322,1,7-Spades,HEADS
323,2,K-Diamonds,HEADS
324,4,Q-Clubs,TAILS
325,1,2-Hearts,HEADS
326,4,2-Spades,HEADS
327,2,6-Spades,HEADS
328,4,9-Hearts,TAILS
329,6,3-Clubs,HEADS
330,4,6-Hearts,HEADS
331,2,9-Diamonds,HEADS
332,5,8-Clubs,TAILS
333,5,A-Clubs,HEADS
334,5,4-Clubs,HEADS
335,4,A-Hearts,TAILS
336,5,6-Clubs,TAILS
337,4,8-Spades,HEADS
338,6,K-Diamonds,HEADS
339,6,6-Hearts,TAILS
340,4,J-Diamonds,TAILS
341,4,5-Spades,TAILS
342,1,A-Diamonds,HEADS
343,5,Q-Hearts,TAILS
344,6,5-Hearts,TAILS
345,4,8-Hearts,TAILS
346,5,8-Diamonds,HEADS
347,6,K-Spades,TAILS
348,2,A-Diamonds,TAILS
349,6,A-Hearts,TAILS
350,6,9-Spades,HEADS
351,4,5-Spades,HEADS
352,1,6-Hearts,HEADS
353,2,A-Diamonds,TAILS
354,5,5-Clubs,TAILS
355,5,3-Hearts,TAILS
356,4,8-Clubs,TAILS
357,1,8-Clubs,HEADS
358,4,4-Clubs,HEADS
359,2,4-Clubs,HEADS
360,4,8-Spades,HEADS
361,5,Q-Clubs,TAILS
362,6,Q-Hearts,TAILS
363,4,7-Diamonds,HEADS
364,6,Q-Diamonds,HEADS
365,3,9-Clubs,HEADS
366,2,3-Spades,HEADS
367,5,7-Clubs,TAILS
368,5,Q-Spades,HEADS
369,6,5-Diamonds,HEADS
370,6,6-Spades,TAILS
371,2,K-Diamonds,HEADS
372,6,4-Hearts,TAILS
373,3,3-Diamonds,HEADS
374,5,3-Spades,TAILS
375,3,Q-Hearts,HEADS
376,2,K-Hearts,TAILS
377,2,8-Clubs,TAILS
378,1,6-Clubs,TAILS
379,4,J-Clubs,TAILS
380,2,5-Diamonds,TAILS
381,1,K-Hearts,TAILS
382,3,7-Spades,TAILS
383,6,Q-Spades,TAILS
384,6,3-Diamonds,TAILS
385,4,Q-Diamonds,HEADS
386,3,A-Spades,TAILS
387,3,10-Spades,TAILS
388,2,A-Clubs,HEADS
389,3,2-Diamonds,TAILS
390,3,10-Spades,HEADS
391,4,8-Clubs,HEADS
392,5,8-Clubs,HEADS
